epoch,train_loss,test_acc
65,0.033622529493421316,0.9174
66,0.033801013220995664,0.913
67,0.033618507566675546,0.9185
68,0.0331633975353092,0.9173
69,0.029029099361151455,0.9113
70,0.03555203541684896,0.9211
71,0.033531658391468225,0.9185
72,0.029204930891022086,0.9175
73,0.03055502970814705,0.9208
74,0.029958655598685144,0.9181
75,0.028775660963803528,0.9205
76,0.026645825261250138,0.9191
77,0.032337814240008596,0.9181
78,0.02676119937952608,0.9201
79,0.027673666041567922,0.9159
80,0.027555168759226797,0.9148
81,0.026796207247301935,0.9142
82,0.02620308186970651,0.9208
83,0.02815304452084005,0.9192
84,0.027619751989282668,0.9094
85,0.024494258392453193,0.9185
86,0.023562555346339942,0.9161
87,0.025942117222361265,0.9188
88,0.022160250423839317,0.92
89,0.026150181581415237,0.9157
90,0.023096207640562208,0.9243
91,0.023160673595806584,0.921
92,0.024786050084754825,0.9255
93,0.023492745539210737,0.9187
94,0.023998282404467462,0.9187
95,0.02017148000182584,0.9181
96,0.02530766251873225,0.9164
97,0.02075756293865852,0.9153
98,0.022427868362423033,0.9203
99,0.019156404367201032,0.9206
100,0.023415441846074535,0.9178
101,0.0219762499924656,0.9165
102,0.02242049327692017,0.9154
103,0.02094222702546045,0.9199
104,0.020694803813160398,0.9216
105,0.021638002554336563,0.9176
106,0.02045351385474205,0.9216
107,0.020001749065611512,0.9237
108,0.020213713094983248,0.9185
109,0.01779152475121431,0.9196
110,0.02037557045946829,0.9235
111,0.02031570310935378,0.9199
112,0.018430217515975237,0.9238
113,0.02031465102899354,0.9202
114,0.016199977013217286,0.9193
115,0.020132588788177818,0.9212
116,0.01807067265241407,0.921
117,0.016107531775832178,0.9202
118,0.021237170605566354,0.9226
119,0.016785473034251482,0.9249
120,0.016752069425254014,0.9212
121,0.019692058300245553,0.9201
122,0.016085211877222172,0.9286
123,0.016813420265102758,0.9211
124,0.019260633989241906,0.9225
125,0.014646384385474958,0.9245
126,0.01596566567993723,0.9265
127,0.01949140424998477,0.9191
128,0.01820095966751687,0.9245
129,0.018613425894295797,0.9259
130,0.016499248356688766,0.9222
131,0.016303391113411635,0.9243
132,0.016101859811041504,0.9215
133,0.01830965207095258,0.9232
134,0.01307221355102025,0.9225
135,0.014646868831277825,0.9226
136,0.017317385359006003,0.9212
137,0.015742435621106998,0.9256
138,0.015051974766720086,0.9221
139,0.017195911958636716,0.9249
140,0.014162920070816763,0.9209
141,0.015307592622344383,0.9246
142,0.014443461843864061,0.9189
143,0.015966576873003506,0.9203
144,0.01450465048544109,0.9248
145,0.01632097653903067,0.9228
146,0.014575806769477204,0.9226
147,0.01681588567794475,0.9229
148,0.013158494841875508,0.9213
149,0.014075951899657957,0.9255
150,0.013683642846951262,0.9184
151,0.014924881426300853,0.9237
152,0.014370451818364672,0.9229
153,0.013539656494797674,0.9232
154,0.014481247142534704,0.922
155,0.014126956999970134,0.9219
156,0.013593776037851349,0.9229
157,0.01441788044420071,0.9236
158,0.013413452497259714,0.9266
159,0.014145460347291082,0.9279
160,0.010165877065020614,0.9184
161,0.01499795954650268,0.9232
162,0.012689473166209645,0.9222
163,0.014951589321077336,0.925
164,0.013903036519377493,0.9223
165,0.011960973454453051,0.9252
166,0.01306345884420909,0.9221
167,0.014813102425555698,0.9224
168,0.01178596494724974,0.9249
169,0.013359988996994216,0.9239
170,0.01414810616241768,0.9261
171,0.011452186522213742,0.9237
172,0.0118975600921968,0.9236
173,0.014144140308559872,0.9175
174,0.01109575972082559,0.9223
175,0.014200876131446567,0.9207
176,0.010267680473418441,0.9261
177,0.01021686248858634,0.9297
